id,stress_type,input_text,ground_truth_summary,critical_facts,llm_summary,fact_recall,completeness_score,hallucination_flag
106,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $10000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 3.5% APY that may change after account opening and requires a minimum balance of $10000. Paper statements cost $3 per month.,3.5% APY; rates may change; $10000 minimum balance; $3 paper statement fee,"Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $10,000 to earn the disclosed APY. Paper statements cost $3 per month.",1.0,2,0
107,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 2.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 2.1% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,2.1% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 2.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
108,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,5:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
109,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,5:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
110,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 3.5% APY that may change after account opening and requires a minimum balance of $1000. Paper statements cost $3 per month.,3.5% APY; rates may change; $1000 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $1000 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
111,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 4.25% APY that may change after account opening and requires a minimum balance of $500. Paper statements cost $3 per month.,4.25% APY; rates may change; $500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $500 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
112,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 2.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $5000 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 2.1% APY that may change after account opening and requires a minimum balance of $5000. Paper statements cost $3 per month.,2.1% APY; rates may change; $5000 minimum balance; $3 paper statement fee,"Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 2.1% APY. Rates may change after account opening. Customers must maintain a minimum balance of $5,000 to earn the disclosed APY. Paper statements cost $3 per month.",1.0,2,0
113,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 3:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 3:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,3:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 3:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
114,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $2500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 4.25% APY that may change after account opening and requires a minimum balance of $2500. Paper statements cost $3 per month.,4.25% APY; rates may change; $2500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 4.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $2500 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
115,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $2500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 3.5% APY that may change after account opening and requires a minimum balance of $2500. Paper statements cost $3 per month.,3.5% APY; rates may change; $2500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 3.5% APY. Rates may change after account opening. Customers must maintain a minimum balance of $2500 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
116,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,4:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
117,long_context,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 1.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $2500 to earn the disclosed APY. Paper statements cost $3 per month.,The account offers a 1.25% APY that may change after account opening and requires a minimum balance of $2500. Paper statements cost $3 per month.,1.25% APY; rates may change; $2500 minimum balance; $3 paper statement fee,Customers can access online banking services 24/7. Mobile check deposit is available through the app. The account offers a 1.25% APY. Rates may change after account opening. Customers must maintain a minimum balance of $2500 to earn the disclosed APY. Paper statements cost $3 per month.,1.0,2,0
118,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,5:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 5:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
119,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,4:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 4:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
120,long_context,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 3:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,Wire transfers submitted before 3:00 PM ET are processed the same day. Dormant accounts incur a $10 monthly fee after 12 months of inactivity.,3:00 PM ET cutoff; $10 dormant fee; 12 months inactivity,Customers receive fraud monitoring alerts and free online bill pay. Wire transfers submitted before 3:00 PM ET are processed the same day. Dormant accounts may incur a $10 monthly fee after 12 months of inactivity.,0.6666666666666666,1,0
